v1;v2
positive;"Sometimes and at peak times (leaving the offices, etc.) there are not always bicycles available	"
positive;"Repair the bikes	"
positive;"The municipality should set the pavements and increase the slopes. BikeMi is optimal for stimulating evolution in this sense	"
positive;"Good but I would improve the bikes. Furthermore, insert in the app the possibility of being able to identify if the stations are full (in key points it can become a problem not finding space - eg train station)	"
positive;"Great customer service. Requests for workstations in neighboring municipalities (eg Sesto San Giovanni). You have to get the cylinders everywhere, it is unthinkable that today you are risking being on the road by bike	"
positive;"One of the beautiful things of Milan	"
negative;"It should be possible to evaluate the state of the used bicycle, if it has problems with the gearbox or with the pedals or other	"
negative;"Missing area deception stations	"
negative;"the idea is wonderful, but in practice there are many things that do not work: 1) it would take more bike paths, at least a network that connects all bikemi stations 2) the bikes must be maintained continuously, it is not possible to allow that you pick up a bike and then you discover that it does not work, broken brakes, low battery, etc. etc. also because then you can not replace unless you wait tot minutes 3) the system of hook and unhook is cumbersome tiring difficult for nothing functional	"
positive;"I am generally fairly happy. I can't stand the fact that there are no seats in some stations, and that it has been going on for 1 year and that new stations have not been entered, or that existing ones have been enlarged.	"
positive;"àˆ A service	"
positive;"I find that for a girl to be heavy in the unhooking phase hang up, moreover often in the arc of peace in the evening I cannot return it because in 3 stations there are no free places	"
negative;"often the posts are full and you have to go too far from your home. In more often the pedals are ruined and the bike makes a strange noise. Even the brakes are often noisy	"
positive;"I am very satisfied with this service. I believe that the annual subscription price is excellent. I suggest finding a system that will provide the CARICA eBike when required. I often happened to unlock an eBike with only a battery notch and it was more tiring to go with yellow bikes. One thing to do by the municipality is to increase the city's cycle paths: cycling in Milan is still rather risky. Another thing I suggest is to increase the number of stations.	"
positive;"Ok	"
positive;"very useful and cheap service. the only flaw the area in via Tito Livio is discovered by BikeMi stations	"
positive;"I FIND YOU NEED A STATION IN PIAZZALE UDINE AND STRENGTHEN THE LAMBRATE AREA	"
positive;"insert it automatically into the students' ATM subscription	"
negative;"Pay attention to the problem of empty parking lots when you have to withdraw and fill them when you have to leave	"
positive;"Improve the bike pickup and storage system. For older people they are too heavy to lift	"
negative;"Many bikes have operating problems, more maintenance should be carried out. Few cycle lanes especially in central areas sometimes make it dangerous	"
positive;"Integrate the cost of the annual pass within the one for public transport	"
positive;"It is a very good service managed very well.	"
positive;"Lately racks are often empty and the bike handling service should be improved and some stalls doubled	"
positive;"Great	"
negative;"They need to be dangerous, and they can be dangerous. Further, the new bikes also have this gear sticking problem which is not ideal. Also, the availability of bikes is good, but often the stations in the center get very full up very early in the morning (around 9 / 9.30).	"
positive;"Good service, maintenance of yellow bikes to improve so much - The changes do not work well and are necessary given the weight of the bike	"
positive;"INFLATE BIKE RUBBERS - Increase station movement,	"
positive;"Great	"
positive;"General positive operation, although some areas are poorly covered in terms of stations present and the redelivery system is not always effective	"
positive;"Improve the integration with the app, often not updated with the number of really free bays, Increase the number of bays in the eastern area of ​​Milan (Piola-Lambrate-Città studi). Optimize the location giving priority to areas with high student concentration (Campus Martinitt, Campus Rubattino). Good Work ^^	"
positive;"Possibility to leave a bike immediately if a defect is detected (eg electric bike unloaded) without waiting. Service in general is both well constructed and economically advantageous	"
positive;"I am satisfied with the service. the main problem I noticed going to my previous job was the time spent looking for a free station. I'm sorry that with the winter time you can't use the bikes all night, I don't understand why	"
negative;"good brakes, but careless tire pressure and front lights or post. often broken	"
positive;"Some stations are always full or always empty (peak times). It would be useful to add stations or to bring / remove bikes from the stalls.	"
positive;"All in all, my experience is very positive, but what does not satisfy me is generally the fact that bikes are very heavy and bulky, bike stations are often located very far from one another, and in my opinion it would be necessary to make a price discrimination between those who use the bike more and those who use it less. For example, during the 3 months of summer there are not but I pay for the same service and besides I am not a daily user but only occasional and of convenience. In this it would be useful to make me pay less. I am also a non-resident student who does not work and, although 3 euros a month are not excessive, I believe that managers who use it every day and earn and have an income should pay for me or almost. If the service is public, in this the administration of the Democratic Party should intervene, facilitating social cohesion supported by sharing the same service from different users. Sorry for the long answer	"
positive;"EXCELLENT SERVICE - IT IS REQUIRED TO INCREASE THE AVAILABLE STALLS	"
positive;"reducing the weight of bicycles would be very welcome for us women	"
positive;"Happy even if some have worn brakes. Furthermore, e-bikes often take too long to start the engine, so at a traffic light you have to pedal hard to start	"
positive;"I often find problems in finding bicycles to use / park bicycles in use in the nearest stalls and useful for my purposes	"
negative;"sometimes the parking lots are full and it becomes a problem, putting the bike back in its place is a bit uncomfortable	"
positive;"I find bike extremely useful for living Milan in a healthier way and free from the media. I ask bikes to keep a good supply of bikes at peak times (often the stations are empty morning and evening most popular times) I tried the new bikes r they are not comfortable: too heavy to lift and handle	"
negative;"Sometimes the gearbox, brakes, wheels do not work well ...	"
negative;"Unfortunately the station in front of my work in via bergognone has now been dismantled for road works and I can no longer use the service even though I have renewed my subscription. I have not been notified nor reimbursed.	"
positive;"it would be very useful to be able to report the quite frequent anomalies. and in the case of unsatisfactory means, not having to wait a long time for replacement	"
positive;"Bikes should be ""treated better"" by users and employees	"
positive;"I would like a bike station in the Corvetto square that leads to a cycle path. Currently it is necessary to reach Brenta as a useful first station	"
negative;"Overall, the service is very useful but it is always more and more difficult to find a bike in the evening and many times the stations, even if they have bikes, do not allow the picking and this is very annoying	"
positive;"Unfortunately, due to the suppression of several stations for the work of the MM4, it has become very difficult to pick up or return the bikes in certain areas of the center at certain times. Furthermore, the totems do not signal nearby stations with free stalls.	"
positive;"Very convenient and cheap. I get on very well, even if I often find yellow bicycles with malfunctions to the gearbox or to pedal	"
negative;"FUNDAMENTAL PROBLEM THAT I FIND ALWAYS THE FULL STATIONS AND I HAVE TO TURN NEARBY TO FIND OTHER STATIONS WHERE TO STORE THE BIKE	"
positive;"charge more for the service but make it work better. make sure that bikes are always available and that there is a place to store, that is to say replace the stations.	"
positive;"Improve bicycle maintenance	"
positive;"1) Bibiclette heavy and unwieldy. 2) Good coverage in the city to improve in the suburbs	"
negative;"It often happens that you hang up the bicycle while an operator is present for picking up or laying other bicycles, but the system does not incorporate the hang up of my bicycle. (Obviously after asking the operator if I can hang up, answer: ""sure!"".) It's a pity that after two hours the e-mail of no bicycle delivery arrives.	"
positive;"The service is great, but the bikes are too heavy, especially the red ones are not so fast / light / comfortable	"
negative;"very satisfied. The only problem: bike maintenance is not always effective (the gearbox often jumps while pedaling)	"
positive;"Improve bike maintenance	"
positive;"the stations in the center of milan especially the cathedral area are too small those in the cathedral area should double their capacity, electric bikes are too often discharged	"
positive;"often bike stations are not available. in the quadronno area there aren't enough bikes. on yellow bikes, maintenance is never done and electrical ones are often discharged	"
positive;"Positive. I need to know the remaining credit when I put the card in the parking lot	"
positive;"The service as a whole is really good, useful and well thought out. You need an app that, based on your location, immediately gives the nearest station with an available bike. Do it, what does it take! The weak side is the state of maintenance of the bikes. The main shortcomings are: 1 the 3-speed gearbox of yellow bikes, almost always out of register and with long non-usable gear, 2 the deflated tires which, being rather heavy bikes, make pedaling difficult.	"
negative;"lack stalls near the lambro park	"
positive;"The availability of free seats in the racks should be increased. It happens to have to leave the bike and not find a single free position in 4 racks. This is a problem, especially in winter	"
positive;"Thick red bikes don't work	"
positive;"I use it occasionally and I am satisfied with the service	"
positive;"Bicycles need more maintenance (brakes, pedals, gearbox). The stations could still be increased especially in peripheral areas.	"
positive;"yellow bicycles are very heavy and often need more maintenance (especially gearboxes). You could also think about opening the bike park, including some without the gearbox	"
negative;"The only negative note is about the condition of the bikes, which is not always adequate. better maintenance would be needed. Overall, I still feel satisfied.	"
negative;"more maintenance on bicycles that do not always work optimally	"
positive;"battery and bike control	"
positive;"I like it very much, I use it willingly, I already said above what doesn't work. Thanks	"
positive;"Great	"
positive;"improve maintenance and distribution	"
positive;"Excellent and functional service, one of the best in the world	"
positive;"improve the quality of yellow bikes	"
negative;"I find it a wonderful service, but it can be perfected with regard to the maintenance of the vehicles (mainly the gearshift that often goes off pedaling), the functioning of the columns that I have found out of many times out of use and have forced me to walk at times, losing the coincidences with trains, I also had some problems in the coupling phases as the bike inserted is not always read.	"
positive;"there are often bikes with gearbox or saddle problems and I don't know how to communicate them. It could be useful to foresee it upon delivery via the station screen	"
positive;"So, the only thing that's not good for me is that often when you go to a stall you don't find electric bikes, or you find them empty, or sometimes even if the LED is green the turret doesn't detect them and you don't can withdraw. To solve it, the only solution, in my opinion, is to put more electric bikes into circulation. Thank you if you do it if you don't slam	"
positive;"positive, the only drawback the type of bicycles and the fact that it happens with a certain frequency are not completely in place	"
negative;"The bike is heavy to lift. Can't the coupling point be lowered a bit?	"
positive;"Activate 24-hour service	"
positive;"The night service was very welcome, it would be convenient to have it all year round and not only in summer	"
negative;"Lately problems finding bikes available	"
positive;"Increase the number of stations in peripheral areas, including because the gears often work poorly	"
positive;"start replacing bikes with more technological models	"
negative;"Problems I'm having with the BikeMi system: 1. if I choose an electronic bike, I will check it out if there is charged, but when I go to select it give me a random bike and if they are not charged wont take it because its very heavy to ride. However, the system will block me to try another time. So I can't take a bike anymore and have wasted lots of time. 2. Parking is a very big problem for me. There is no parking when I go to work around 9:30 am to the least 2 other parking stations to take my trip. 3. The app does not have a GPS so I don't know where I am. Being a foreigner in the city	"
positive;"the service is a pride and I am proud of it as a Milanese. however, more attention should be paid to vehicle maintenance. for the rest YOU ARE GREAT!	"
positive;"Excellent experience, generally very satisfactory service.	"
positive;"We need more cycle paths!	"
positive;"Greater control of the functionality of bicycles	"
positive;"There are full stations and you can't leave the bike, so one has to go look for another station.	"
negative;"Insufficient stations and stalls per station (often occupied and later), inadequate night time (to be extended)	"
positive;"Multiple stations or integrated GPS to better locate them anywhere	"
positive;"The new yellow bikes are unusable by a woman, really too heavy! Better the old ones :)	"
positive;"positive	"
positive;"Check the hooks and the status of the bikes. For the rest ok.	"
positive;"very satisfied. Milan is difficult for bikes.	"
positive;"MAKE SURE THE MAIN MAINTENANCE OF THE STATIONS (OFTEN THE STAGES DO NOT WORK WELL)	"
positive;"Great very useful service. From time to time the stalls are full and sometimes totally empty so you can't really rely on them. Bikes are beaten from time to time and there is no way to replace them if a problem is discovered. For the rest I was one of the first to adopt it and I find it excellent	"
positive;"It is very useful but it lacks a network of suitable cycle paths that really makes the bicycle and bike me a valid alternative means	"
positive;"Brakes don't work	"
positive;"loyal user and generally satisfied with the service	"
negative;"the service is smart but is very limited by the location of the stations. They are all a center. There isn't one in Stazione Lambrate or the eastern suburbs.	"
positive;"Please dont close stations without notice. San Ambrogio has been closed and we have no idea if it will return. also the statioon at piazza partigiani, near corso italy are closed for MM4 work but we need bkies as traffic too congested now. please restore stations somewhere else near the original stations.	"
negative;"Always empty red bikes, stations not always replenished	"
positive;"I am satisfied with the service in general. I would improve the maintenance of the service of yellow (mechanical) bikes, too many times they are deflated or have other problems. Red (electric) bikes very often do not have / have minimal support battery	"
negative;"the only problem is that there are not always bikes available	"
positive;"Great service, too often though red bicycles have problems. And I would also extend the hours of use late at night, if not even 24 hours a day. Thank you	"
positive;"Thanks first of all for being there! By now more and more often alas there are problems in finding electric bicycles, in finding them in good condition and in the management of the stalls (intake and return). Good job!	"
negative;"Bicycles are often not functioning or partially functioning. It would be advisable to include a feedback evaluation at the end of each rental in order to proceed with the repair of faulty vehicles.	"
negative;"My experience was on average good, too bad for the yellow bikes, which often have inherent defects in the gearbox or brakes	"
positive;"fly in the ointment not to find a bike park because busy	"
negative;"percentage of broken or malfunctioning bicycles too high	"
negative;"Lately I have had problems with the stations: or deactivated (today I tried 3 in a row) or already full, with the impossibility to leave the bike.	"
negative;"Very often electric bikes are not charged. We could provide a tool in the arm app that allows you to report problems that the bike has by entering the number of the bike and the station	"
positive;"maintenance is not enough	"
positive;"Excellent and satisfying. More maintenance on bikes	"
positive;"absolutely improve and renew the yellow bike park	"
positive;"this service should be more open to foreigners ... for example, this survey asks the 'birth province' and only expects the response to be italian. i am from chicago. so, please, you have to bet more on the foreign market. i think this service is wonderful ... and anytime i have a problem, i can call you and i helped you immediately. after 11 years in italy, the bikemi customer service is the best i have ever experienced, so thank you. congratulations. but i have some suggestions. the stations to the difficult to find, the suggestions to the GPS option on the bikemi app, because they often take the bike but can't find a place to leave it because the stations are full. and then I have a penalty because I pass the time limit while looking for a station to park. i think that 40 minutes is a bit more reasonable, and as a better method of finding places to ride, not only FINDING a bike. but i appreciate this service very much, and i applaud it, and want to improve to the best it can be.	"
negative;"I find it more difficult to pick up electric bikes. There are but not delivery	"
positive;"improve gearbox maintenance, often the gear shifts.	"
negative;"I would remove the gear. In Milan, a flat city, it is not necessary and often causes problems for the bike	"
positive;"Enhance the network in peripheral areas of the city	"
positive;"Expand the network of stations even in the suburbs + improve the quality of the bikes (often the gears do not engage)	"
positive;"If the racks are full it is not possible to leave the bike and unintentionally overcome time	"
negative;"I think a more frequent relocation of the bicycles is necessary, especially in the morning range. In the 3 stations around my house, at h. 8.30 the bikes available are always very few, only traditional. I think more maintenance is needed, saddles that do not hold the hooks, broken gearboxes, destroyed knobs.	"
positive;"You must be able to go at night	"
positive;"Extend hours of use as was done in the summer	"
positive;"Improve the quality and efficiency of bicycles	"
negative;"Bicycles are almost always in poor condition (brakes, saddle, gearbox)	"
positive;"There are too many bikes that cannot be taken with the red light .... around 19-20 in the center (cathedral area) I never find the bikes	"
positive;"To improve the yellow bicycles, too many times I had to change with another for technical or mechanical reasons	"
positive;"Improve the status of bicycles.	"
negative;"Bikes too often have gearbox problems	"
positive;"put a lunigiana tram copolinea station + improve yellow maintenance	"
negative;"Stations are not always adequately managed (few bikes in the evening in the workplace and too many in residential areas). Bicycles often have problems	"
negative;"The Lotto stop is ALWAYS without bikes in the evening.	"
positive;"I find the service convenient, give the possibility of couple or group rentals I consider it an excellent opportunity and I would put on the bike the possibility of the navigator or in any case of a device that allows the fixing of the smartphone to view the directions	"
positive;"Increase positions outside and extend hours 24 hours	"
positive;"great experience, too bad I can't take my kids because there isn't a seat	"
positive;"I consider it a GREAT service	"
positive;"it would be useful to have some bikes near BisceglieM1, just to be able to park far away and reach the metro.	"
positive;"generally satisfied except sometimes for the condition of the bikes	"
positive;"It's a smart service. Milan is growing due to the use of cycle paths. I hope you continue to create new ones. I would like an expanded service out of the second ring of the circumference. I would be a more regular user	"
positive;"place new stations - also temporary - where there are the works of the new underground line - Corso genova-Conca del Naviglio area	"
negative;"in the morning in the center, the stalls are often full and making the bike difficult	"
positive;"great service, only flaw should be more stations	"
negative;"Negative notes: The change of some traditional bicycles does not work well. Once the gear was engaged the pedals ""click"" and at the start I risked falling more than once and in the race I skidded. Electric bicycles often don't work even if the indicator shows 4 green lights. All bikes sometimes don't brake or nail their wheels. You should improve the maintenance service. The bikes are heavy and pick-up and delivery are not always easy as the bike must be lifted and not a little.	"
positive;"Make bikes lighter, like those in the town of Corbetta (Mi)	"
positive;"Heavy to hook and unhook. Horizontally it would be better	"
positive;"Good	"
positive;"it would take more bike maintenance	"
positive;"It would take a child seat on some bikes	"
negative;"there are often no places to look after them	"
positive;"Lighter and more manageable bikes	"
negative;"Satisfaction is high! The only criticism is that on many yellow bicycles spent they have technical problems. Pedals make a ""click""	"
negative;"Very often the bikes are malfunctioning and delivery with increasingly full racks is becoming increasingly difficult. Really stressful!	"
negative;"great service for the city but the bikes sometimes have the change that works badly	"
positive;"more assiduous brake and bike mechanics control	"
positive;"Transform penalties into fines instead of canceling the card	"
positive;"Bravi	"
positive;"Spreading further, more stations, more functional bicycles, with Cargo for grocery shopping, lighter and cleaner !!!	"
positive;"Bike too heavy	"
positive;"Further extend the area served. Bring free use time to 45-60 minutes.	"
positive;"it's a great vehicle in the city	"
negative;"Difficult to leave the bike downtown at peak times	"
negative;"lately the bikes with assisted pedaling do NOT work and it is difficult to return bikes to the center	"
negative;"I think the service is very useful, for this only at the 2nd annual pass, but some areas have the stalls of distant bikes / very few bike paths and lots of smog. In short, what should be a moment of leisure becomes a stress (pedestrians that insult you because you're on the sidewalks and drivers insulting you because you're on the road). So where do we have to go around on the bike ???	"
negative;"excellent availability of stations. vehicles with poor maintenance and often the transmission / transmission works badly	"
positive;"enable Bikeme card for payment of public transport	"
positive;"improve the mechanics of traditional bicycles, often malfunctioning and in any case heavy and slow	"
positive;"Useful in the days of the strike of the vehicles or their delays	"
positive;"The pick-up time should be extended throughout the night because it is a valid alternative to taxis	"
positive;"in general the service is very good. Sometimes however it happens that the bike is not in order from the mechanical point of view (saddle, tires or other). It is very important that users always find means in order otherwise they soon become disaffected	"
negative;"the operation of the gearbox and of the bicycles is very different from bike to bike and is always a source of uncertainty but above all often push to interrupt the use	"
positive;"yellow bikes often not working / malfunctioning	"
positive;"satisfied	"
positive;"improve maintenance	"
positive;"Extension also in the province	"
positive;"Everything perfect, many bikes have gearbox problems, it would be very useful to be able to use them even at night when there are no more ATM vehicles	"
positive;"Improve the appearance and functionality, making the chassis lighter and improving the transmission system, increase the number of stalls and improve the app to be able to instantly see the availability of parking or pick up, increase visibility through more adequate stalls of stands ( take a look at the subway signs visible from afar.	"
positive;"I wish I could report bike problems	"
negative;"need more maintenance for bicycles. the new yellow bikes are very uncomfortable and heavy. very often I don't find slots available to leave the bike. I don't understand why when only one bike remains, it is always unavailable	"
negative;"If a pick-up bike malfunctions and you want to return it, you have to wait 5 minutes to get another one. This becomes a disservice. The wait in this case is too long. The return of the broken bike in the same station where it was taken must allow immediate change	"
positive;"The possibility to book the bike forward, like 10min before.	"
positive;"I FIND THE MOST COMFORTABLE CODES THAT THE CARD AS THE LOST THEN AND THE COST TO REST IT IS EXCESSIVE	"
positive;"Absolutely positive BikeMi experience. It would be even more so with a station closer to home (via watt / via morimondo)	"
negative;"the bikes are heavy, the handlebars are awkward	"
positive;"Several times I find yellow malfunctioning bikes, otherwise it is good service ..	"
negative;"LOW MAINTENANCE	"
positive;"I would add bikemi to all metro stations, even the most peripheral ones	"
negative;"Bicycles are often uncomfortable because they have breakdowns	"
positive;"Little correspondence between call center and debit mail. Talk about it more	"
positive;"I am very satisfied with the bikemi service, I would like there to be more bike lanes and to point out that traditional bikes are often broken or heavy	"
negative;"I believe it is necessary to improve the reliability of the bike return system (often the coupling is done correctly but not recorded by the system) and the state of maintenance of traditional bikes, which often have problems with the pedals and the gearbox	"
positive;"I use it little, as an alternative to the scooter when it is very cold, now that even in winter it can be used in the evening I am very happy	"
positive;"I am satisfied, call for more control on brake saddles and gearboxes	"
positive;"transmission does not work once in three, maybe another mechanism would be less fragile	"
positive;"You should make an App that replaces the paper card, for subscriptions	"
positive;"Bicycles need to be serviced more often, often something does not work or the chain does not turn well, the gears are jammed. They are often dirty and in a poor state of maintenance. The cycle paths must certainly be increased, this would induce everyone to use the service with greater security and tranquility, because in fact it is a fundamental service for a city like Milan.	"
negative;"often the stalls are full and you can't leave the bike, often wasting a lot of time looking for another one. it would take more stalls in the suburbs. the stall stall square should be restored	"
negative;"OFTEN THE STALLS ARE FULL, OR THEY ARE COMPLETELY EMPTY, PREVENTING USE. IN THE CENTER ESPECIALLY	"
positive;"give the opportunity through the app to report bike malfunctions (deflated wheels, brakes, saddle change etc.)	"
positive;"Electric bikes are often empty, and the workstations in the center are always full and the parking is not very difficult	"
negative;"Unfortunately, more maintenance. I realize that the real problem is the improper or incorrect use of some users.	"
negative;"the stations are not done well: often users put the bike back on the wrong side, making all the bikes useless around the badly parked one. You should review this	"
negative;"I can train myself by going to the University to work. without finding a free day for cycling.	"
negative;"sometimes as soon as you leave the bike you get a red error message that sets itself up after a few minutes	"
positive;"Great service, to improve the state of maintenance of the bikes often problematic on brakes and pedals that ""shell"".	"
negative;"electric bikes 9 times out of 10 are empty and it is not possible to change them immediately to take a normal one	"
positive;"extend the service to more peripheral areas	"
positive;"Make an efficient service available to report inefficiencies (broken bike) via the app, without calling. For telephone communications, prepare a dedicated toll-free number (not ATM)	"
negative;"Too few parking problems with broken system hooks that work badly	"
positive;"Great service, you absolutely must increase the stalls in the congested areas	"
positive;"give the possibility to pick up the bicycle even at 5 in the morning, so you can also use it to go to the train station.	"
positive;"extend the time of use throughout the night.	"
positive;"frequent changes to six classic bike models have led to very variable performances in terms of comfort and speed and possible efforts. appear to be unreasonable for a user like me who has practically used them of all kinds. the maintenance of the same in primis the pressure of the tires and the brakes appear little managed. grease the barrel of a saddle to make it slide better is deficient. then it doesn't get stuck and it's dangerous and uncomfortable. would you do it with YOUR bike? the newer saddles seem to be made for American seats than for Italians. front light can be improved in night / winter use. the problem of cycle paths remains. of their access and withdrawal from / to the street. certainly a good idea of ​​service for a flat city like Milan. I would oblige the managers of your company to go around the streets with the current means and on the cycle paths of today (real or virtual) to bring these feedback you request directly from the field. bad ass. a couple of flights in the rails. going first as a splinter or a snail with a bus next door will undoubtedly add value and arguments to the next meeting of business plans or operations meetings review. I leave you	"
negative;"More care for bicycles - many have gearbox problems and electric ones are sometimes unloaded - plus there are full bays in the evening near the station and empty in the morning	"
positive;"Very satisfied, I wish there were BIKEMI stations in via Varesina (which has a nice cycle path)	"
positive;"It would be great to have a continuous pick-up time.	"
positive;"Positive, but bike maintenance needs to be improved	"
positive;"It could be considered free for users who have an annual subway subscription	"
negative;"Definitely satisfied but the bikes are sometimes in pitiful conditions, especially the brakes and tires, and therefore become dangerous. And I say this even when I'm on the way and I see other bikeme users on the street, with obviously broken bikes and at risk of an accident.	"
positive;"Great service but better care of bicycles would be desirable. Many times they have a broken gearbox or malfunctioning brakes	"
positive;"Often the stations are full and this makes it impossible to return the bicycle. Traditional yellow bicycles are often malfunctioning.	"
positive;"I am happy with the service, which however needs to be strengthened and a management (software?) Of the number of bikes at the stalls is needed to prevent the bicycle from being left too far from the destination. When this happens (and it rarely happens) the same logic of using the vehicle that is born and must be a public vehicle not only for leisure and leisure but a means that integrates with other means of transport available in the city . Critics, however, do not want to overshadow the great importance of service.	"
negative;"The maintenance of yellow bikes is very bad! When picking up, I often find them with operating problems: pedals, gearbox, brakes, etc.	"
positive;"A little more maintenance would not hurt, the brakes work from time to time, the screws to weld the saddle are often worn. In general they are very heavy bikes but oh well.	"
negative;"at peak times it is difficult to find empty parking lots	"
positive;"Thanks to the IT support, the flow of withdrawals / deposits in the stations during points periods should be better anticipated and the problem of bike lack / overcrowding (eg station 184 often empty in the morning, station 163 often full at the same time) should be prevented - service opening at 6 am - 24/7 service extension on weekends throughout the year	"
negative;"In the case of a bicycle picked up with technical problems there is no possibility to signal it to the station and take a functioning one immediately afterwards.	"
negative;"Bad bike maintenance (tires, gearbox, brakes, saddles). It happens too often to find stations all empty or full, you have to move them more with vans	"
positive;"EXPAND THE SERVICE TO THE OUTSKIRTS AND EXTEND THE TIME	"
negative;"more maintenance! Many bikes don't work anymore, it's dangerous. increase the number of stations even in areas outside the dockside ring road.	"
positive;"It would be useful to be able to take the bike after one at night	"
positive;"I would like bicycles to be in better condition with the bike not jerky because the chain is badly placed or the saddle is not as uncomfortable as your bicycles are	"
positive;"STATIONS ARE LITTLE. OR YOU DON'T FIND BIKES OR FIND PARKING. FINALLY, YOU CANNOT COUNT WITH THE CERTAINTY OF SERVICE	"
positive;"Bicycle paths are the first step	"
positive;"Maintenance of yellow bikes should be increased	"
positive;"I work late, sometimes even after 2 am, and I'd like to be able to take the bike at all hours.	"
positive;"The penalties are too restrictive	"
positive;"It would be necessary to increase the biki car parks in semi-central areas	"
negative;"very often in the evening some stations are empty and I have to walk to the next and the distance between them is not always short	"
positive;"More maintenance for bikes	"
negative;"in the morning in the center the stations are full and parking is difficult	"
negative;"In the bike station should be the option to signal how the bike does not work well - the brakes, gearbox, ...	"
negative;"The station empties already at 8:30	"
positive;"In my opinion it must be a 24-hour service, it ends too soon	"
negative;"The parking lots are empty often or with few bikes that cannot be taken and are often full, creating problems in the return	"
negative;"Sometimes there are electric bikes that are not working. Problems with the saddle that adjusts badly and sometimes you just can't adjust. You must activate a simple system to allow you to report any problems after delivery.	"
positive;"Improve bike distribution to facilitate parking. Increased bike maintenance (especially brakes).	"
positive;"Very useful, increase the frequency of vehicle maintenance	"
negative;"Add possibility to report faults	"
negative;"it would be useful to be able to report any faults / problems regarding the bike used	"
negative;"LAMENTATION ISSUES IN YOUR ORGANIZATION - DO NOT FIND ALMOST NEVER PLACED TO LEAVE IT IN THE DUOMO-PIAZZA FONTANA-BECCARIA STATIONS AT 8.50 AM OF MATIIMNO	"
positive;"bike maintenance needs to be more effective and yellow bikes almost all have gearbox problems	"
negative;"Beautiful idea but it is not suitable for those who live from the ring roads towards the center and the bikes are often defective	"
positive;"There should be more ebikes	"
positive;"Excellent and plentiful :)	"
negative;"bikes are often poorly maintained, full of pedaling problems ... should be placed more often	"
positive;"I also need it at night	"
positive;"improve the bikes	"
negative;"Good service, too bad that I can't use them every day because the service does not arrive in the Affori area. I also requested by email.	"
negative;"very satisfied with the service in general, less than the state of the bikes (on the electric one there are often problems / do not work) and the stations are often full / empty.	"
positive;"Extending the network to the whole city, putting part of the costs on the general cost of LPT (about a + 3%) spread over the tariff as a whole	"
positive;"more robust transmissions or quieter users	"
positive;"we need to improve bike maintenance because it leaves something to be desired	"
positive;"Most efficient app, still too frequent failures	"
negative;"extend pick-up times to eliminate blocking hours. What are they for?	"
positive;"Greater control of pedals and brakes	"
positive;"often full stalls	"
negative;"I find blocked service stations, a serious inconvenience when I have little time	"
negative;"bicycles are often broken, a shopping basket would be useful	"
negative;"with a certain frequency I happen to encounter problems of coupling in the stalls	"
negative;"Very good service but the quality of classic bikes is very bad	"
negative;"the bike attachment system is very uncomfortable, and the bikes are almost never in good condition, in particular the tire change and pressure	"
positive;"Points for improvement: increase the stalls or increase the manual movement of the bikes by the ATM workers, especially in the peak time bands (9: 00-9: 30	"
negative;"electric charging signal always on and more evident even when the bike is at rest in the stall	"
negative;"I am satisfied, too bad that no station has been installed all along Viale Monza. I live in that area and I still have to take the subway to Loreto to reach the nearest BikeMi station.	"
positive;"Improve electric bikes and more maintenance on standard ones	"
positive;"Paying after half an hour of free use of the bike cannot be heard.	"
negative;"I believe that a major flaw in the service is due to the app that is not very useful (it is difficult to visualize the map of the stations for example and you cannot do a search by way). Furthermore, often the bikes are defective, it would be interesting to be able to make a report via app.	"
positive;"Unfortunately, due to excellent service, bike maintenance often leaves something to be desired. It would be nice if the nightly restitution time was more extensive	"
negative;"I would appreciate a service on the app to quickly report broken / malfunctioning bikes in order to speed up repair / maintenance	"
negative;"Perfect. The only drawback is that working in the center the stalls are always busy and in order to avoid entering late for work, I am often forced to reintroduce myself to the bike. Moreover, especially in San Babila, it often happens in the morning that there is a bicycle change or maintenance by the employees who sometimes inserting new bikes go to remove the already scarce stalls available. In my opinion, they should do these operations at times far from those of entry and exit from work.	"
negative;"Unfortunately it often happens that the stations near the railway stations are full during peak times	"
positive;"From 10 onwards in the suburban stations there are no bikes, they are all in the center. In Milan there are so many Italians unemployed, fathers of families, take them to move the bikes or better yet a supervisor for each station! Thanks	"
positive;"CENTRAL PARKING AREAS ONLY. WHY NOT IN THE CITY STUDIES TO ES.?	"
positive;"GOOD to fix the paths	"
positive;"Take care of the efficiency of the bikes especially brakes and gearboxes	"
positive;"The night coverage of the service would be useful	"
negative;"The only negative aspect is the delivery system. I paid a penalty unfairly because the bicycle was not delivered. Several times I have to call to say that the light was red but the bike was delivered.	"
positive;"Spread stations in the suburbs especially near metro schools hospitals	"
positive;"Get out more from the center	"
negative;"overall good service, more attention should be paid to bike maintenance and stations ""emptying and filling"" service. Absolutely rejected the former red bikes turned into yellow impossible to use because very heavy	"
positive;"a better system would be appreciated for the change that often gets jammed	"
positive;"Good service, but you should put a station in front of every school, because right now I have to go to the nearest one, which is still far enough away, to go to school.	"
negative;"electric bikes are often ""empty"" and do not work. sometimes the release is not recorded when I leave the bicycle	"
negative;"Updating the collection / deposit spaces is not very efficient. It often happens that there is no room to store the bicycle.	"
